JobTitle,Location,Category,EducationLevel,EmploymentType,ExperienceLevel,Industry,ContracDuration,Shift,Compensation,JobType,PostedDate,JobDescription,JobURL
"School Speech Language Pathologist - Bessemer, AL","Bessemer, Alabama",Category: Education,,Contract - Full Time,,,Contract Duration: 39 Weeks,Work Setting: Schools,Est. Pay: $2400 / Week,,Posted Date: 7/24/2025,"The Speech-Language Pathologist in the school setting isresponsible for performing student evaluations as well as providing anddocumenting therapy services in accordance with the plan of care developed foreach individual student and the physician’s orders. 
Minimum Requirements: 


Active  SpeechLanguage Pathologist (SLP) Licensure in the state of assignment required 
Certificate of Clinical Competence in Speech-LanguagePathology (CCC-SLP) preferred and may be required by state/contract.  
Complies with all relevant professional standards ofpractice  
Current CPR if applicable 
TB questionnaire, PPD or chest x-ray if applicable  
Current Health certificate (per contract or stateregulation)  
Must meet all federal, state and local requirements  
Must be at least 18 years of age  



Benefits
At Amergis, we firmly believe that our employees are the heartbeat of our organization and we are happy to offer the following benefits:


Competitive pay & weekly paychecks
Health, dental, vision, and life insurance
401(k) savings plan
Awards and recognition programs 

*Benefit eligibility is dependent on employment status. 
												
About Amergis
Amergis, formerly known as Maxim Healthcare Staffing, has served our clients and communities by connecting people to the work that matters since 1988. We provide meaningful opportunities to our extensive network of healthcare and school-based professionals, ready to work in any hospital, government facility, or school. Through partnership and innovation, Amergis creates unmatched staffing experiences to deliver the best workforce solutions.  
						
Amergis is an equal opportunity/affirmative action employer. All qualified applicants will receive consideration for employment without regard to sex, gender identity, sexual orientation, race, color, religion, national origin, disability, protected Veteran status, age, or any other characteristic protected by law.",https://careers.amergis.com/job/885753-school-speech-language-pathologist-bessemer-al-bessemer-alabama/
Special Education Paraprofessional,"Anoka, Minnesota",Category: Education,,Contract - Full Time,,,Contract Duration: 52 Weeks,Work Setting: Schools,Est. Pay: $20 / Hour,,Posted Date: 8/7/2025,"The School Aide is an individual who works with studentsrequiring instructional, and/or behavioral assistance under the supervision ofthe special education department, teacher and/or supervising designee.  The School Aide may also provide supportservices to assist students with personal, physical mobility and therapeuticcare needs, as established by a rehabilitation health practitioner, socialworker or other health care professional. 
Minimum Requirements: 


High School diploma or equivalent required 
Comply with all relevant professional standards ofpractice  
Current CPR if applicable 
TB questionnaire, PPD or chest x-ray if applicable  
Current Health certificate (per contract or stateregulation)  
Must meet all federal, state and local requirements   
Must be at least 18 years of age  



Benefits
At Amergis, we firmly believe that our employees are the heartbeat of our organization and we are happy to offer the following benefits:


Competitive pay & weekly paychecks
Health, dental, vision, and life insurance
401(k) savings plan
Awards and recognition programs 

*Benefit eligibility is dependent on employment status. 
												
About Amergis
Amergis, formerly known as Maxim Healthcare Staffing, has served our clients and communities by connecting people to the work that matters since 1988. We provide meaningful opportunities to our extensive network of healthcare and school-based professionals, ready to work in any hospital, government facility, or school. Through partnership and innovation, Amergis creates unmatched staffing experiences to deliver the best workforce solutions.  
						
Amergis is an equal opportunity/affirmative action employer. All qualified applicants will receive consideration for employment without regard to sex, gender identity, sexual orientation, race, color, religion, national origin, disability, protected Veteran status, age, or any other characteristic protected by law.",https://careers.amergis.com/job/888909-special-education-paraprofessional-anoka-minnesota/
"Inclusion Special Education Teacher - Fairhaven, MA","Fairhaven, Massachusetts",Category: Education,,Contract - Full Time,,,Contract Duration: 39 Weeks,Work Setting: Schools,Est. Pay: $1787 / Week,,Posted Date: 6/6/2025,"The Special Education Teacher, under the direction of theSpecial Education Program Administrator provides quality services to specialeducation students, kindergarten through grade 12.  The Special Education Teacher has a commitmentto team participation in planning and implementation of student programsincluding special instruction, tutorial assistance and consultation withgeneral education staff.   
Minimum Requirements:  


Bachelor’s Degree from an accredited universitypreferred  
Valid state teaching certificate as required by state,contract/district regulations  
Minimum of one year experience in teaching environmentpreferred  
State Teacher Certification; Type: Standard ElementaryTeaching preferred 
State Teacher Certification; Type: Standard SecondaryTeaching preferred 
State Teacher Certification; Type: Standard Special Teachingpreferred 
Endorsement: Learning Behavior Specialist (LBS1) preferred
Current CPR if applicable 
TB Questionnaire, PPD or chest x-ray if applicable  
Current Health certificate (per contract or stateregulation)  
Must meet all federal, state and local requirements 
Must be at least 18 years of age 

Benefits
At Amergis, we firmly believe that our employees are the heartbeat of our organization and we are happy to offer the following benefits:


Competitive pay & weekly paychecks
Health, dental, vision, and life insurance
401(k) savings plan
Awards and recognition programs 

*Benefit eligibility is dependent on employment status. 
												
About Amergis
Amergis, formerly known as Maxim Healthcare Staffing, has served our clients and communities by connecting people to the work that matters since 1988. We provide meaningful opportunities to our extensive network of healthcare and school-based professionals, ready to work in any hospital, government facility, or school. Through partnership and innovation, Amergis creates unmatched staffing experiences to deliver the best workforce solutions.  
						
Amergis is an equal opportunity/affirmative action employer. All qualified applicants will receive consideration for employment without regard to sex, gender identity, sexual orientation, race, color, religion, national origin, disability, protected Veteran status, age, or any other characteristic protected by law.",https://careers.amergis.com/job/875432-inclusion-special-education-teacher-fairhaven-ma-fairhaven-massachusetts/
School Psychologist - $60-$66/ hour!,"Tucson, Arizona",Category: Education,,Contract - Full Time,,,Contract Duration: 40 Weeks,Work Setting: Schools,Est. Pay: $2200 / Week,,Posted Date: 4/29/2025,"The School Psychologist works to support students through avariety of mental health and developmental issues and aid in qualifyingstudents for additional support services. The School Psychologist is responsible for providing on-sitepsychological services to students under the jurisdiction of the state anddistrict.  
Minimum Requirements: 


Must maintain current State licensures and/or certificationsin state of assignment  
Experience in pediatric and adolescent population ispreferred  
Master’s degree in psychology preferred 
Current CPR if applicable 
TB Questionnaire, PPD or chest x-ray if applicable  
Current Health certificate (per contract or stateregulation)  
Must meet all federal, state and local requirements 
Must be at least 18 years of age  
































Benefits
At Amergis, we firmly believe that our employees are the heartbeat of our organization and we are happy to offer the following benefits:


Competitive pay & weekly paychecks
Health, dental, vision, and life insurance
401(k) savings plan
Awards and recognition programs 

*Benefit eligibility is dependent on employment status. 
												
About Amergis
Amergis, formerly known as Maxim Healthcare Staffing, has served our clients and communities by connecting people to the work that matters since 1988. We provide meaningful opportunities to our extensive network of healthcare and school-based professionals, ready to work in any hospital, government facility, or school. Through partnership and innovation, Amergis creates unmatched staffing experiences to deliver the best workforce solutions.  
						
Amergis is an equal opportunity/affirmative action employer. All qualified applicants will receive consideration for employment without regard to sex, gender identity, sexual orientation, race, color, religion, national origin, disability, protected Veteran status, age, or any other characteristic protected by law.",https://careers.amergis.com/job/867949-school-psychologist-60-66-hour-tucson-arizona/
Speech Language Pathologist Assistant - Spanaway,"Spanaway, Washington",Category: Education,,Contract - Full Time,,,Contract Duration: 36 Weeks,Work Setting: Schools,Est. Pay: $1650 / Week,,Posted Date: 7/24/2025,"The Speech Language Pathologist Assistant assists the SpeechLanguage Pathologist in providing speech and language services.  The Speech Language Pathologist Assistantwill have clinical, educational, documentation, and treatment relatedactivities while working within the scope of responsibilities/ plan of careassigned by the Speech Language Pathologist and/or physician.  
Minimum Requirements: 


Must be a graduate of a SLPA program with an associate’sdegree, or have a bachelor’s degree in a speech-language pathology orcommunication disorders program  
Successful completion of a minimum of 100 hours ofsupervised field work experience or its clinical experience equivalent asrequired by state and/or contract 
Current certification or licensure as a Speech-LanguagePathology Assistant in the State of Practice 
Complies with all relevant professional standards of practice  
One (1) year of prior professional Speech-Language PathologyAssistant experience preferred 
Complies with all relevant professional standards ofpractice  
TB questionnaire, PPD or chest x-ray if applicable  
Current Health certificate (per contract or stateregulation)  
Must meet all federal, state and local requirements  
Must be at least 18 years of age



Benefits
At Amergis, we firmly believe that our employees are the heartbeat of our organization and we are happy to offer the following benefits:


Competitive pay & weekly paychecks
Health, dental, vision, and life insurance
401(k) savings plan
Awards and recognition programs 

*Benefit eligibility is dependent on employment status. 
												
About Amergis
Amergis, formerly known as Maxim Healthcare Staffing, has served our clients and communities by connecting people to the work that matters since 1988. We provide meaningful opportunities to our extensive network of healthcare and school-based professionals, ready to work in any hospital, government facility, or school. Through partnership and innovation, Amergis creates unmatched staffing experiences to deliver the best workforce solutions.  
						
Amergis is an equal opportunity/affirmative action employer. All qualified applicants will receive consideration for employment without regard to sex, gender identity, sexual orientation, race, color, religion, national origin, disability, protected Veteran status, age, or any other characteristic protected by law.",https://careers.amergis.com/job/885784-speech-language-pathologist-assistant-spanaway-spanaway-washington/
School Psychologist - SY 25-26 - Pay $80/Hr.,"South Holland, Illinois",Category: Education,,Contract - Full Time,,,Contract Duration: 39 Weeks,Work Setting: Schools,Est. Pay: $1397 / Week,,Posted Date: 5/12/2025,"PEL w/Psychologist endorsement. required
The School Psychologist works to support students through avariety of mental health and developmental issues and aid in qualifyingstudents for additional support services. The School Psychologist is responsible for providing on-sitepsychological services to students under the jurisdiction of the state anddistrict.  
Minimum Requirements: 


Must maintain current State licensures and/or certificationsin state of assignment  
Experience in pediatric and adolescent population ispreferred  
Master’s degree in psychology preferred 
Current CPR if applicable 
TB Questionnaire, PPD or chest x-ray if applicable  
Current Health certificate (per contract or stateregulation)  
Must meet all federal, state and local requirements 
Must be at least 18 years of age  
































Benefits
At Amergis, we firmly believe that our employees are the heartbeat of our organization and we are happy to offer the following benefits:


Competitive pay & weekly paychecks
Health, dental, vision, and life insurance
401(k) savings plan
Awards and recognition programs 

*Benefit eligibility is dependent on employment status. 
												
About Amergis
Amergis, formerly known as Maxim Healthcare Staffing, has served our clients and communities by connecting people to the work that matters since 1988. We provide meaningful opportunities to our extensive network of healthcare and school-based professionals, ready to work in any hospital, government facility, or school. Through partnership and innovation, Amergis creates unmatched staffing experiences to deliver the best workforce solutions.  
						
Amergis is an equal opportunity/affirmative action employer. All qualified applicants will receive consideration for employment without regard to sex, gender identity, sexual orientation, race, color, religion, national origin, disability, protected Veteran status, age, or any other characteristic protected by law.",https://careers.amergis.com/job/870522-school-psychologist-sy-25-26-pay-80-hr-south-holland-illinois/
In-Person Speech Language Pathologist 25/26 School Year,"Wilmington, Delaware",Category: Education,,Contract Duration: 36 Weeks,,,Contract Duration: 36 Weeks,Work Setting: Schools,Est. Pay: $2771 / Week,,Posted Date: 5/22/2025,"The Speech-Language Pathologist in the school setting isresponsible for performing student evaluations as well as providing anddocumenting therapy services in accordance with the plan of care developed foreach individual student and the physician’s orders. 
Minimum Requirements:


Active Speech Language Pathologist (SLP) Licensure in thestate of assignment required 
Certificate of Clinical Competence in Speech-LanguagePathology (CCC-SLP) preferred and may be required by state/contract. 
Current CPR if applicable 
TB questionnaire, PPD or chest x-ray if applicable  
Current Health certificate (per contract or stateregulation)  
Must meet all federal, state and local requirements 
Must be at least 18 years of age 


Benefits
At Amergis, we firmly believe that our employees are the heartbeat of our organization and we are happy to offer the following benefits:


Competitive pay & weekly paychecks
Health, dental, vision, and life insurance
401(k) savings plan
Awards and recognition programs 

*Benefit eligibility is dependent on employment status. 
												
About Amergis
Amergis, formerly known as Maxim Healthcare Staffing, has served our clients and communities by connecting people to the work that matters since 1988. We provide meaningful opportunities to our extensive network of healthcare and school-based professionals, ready to work in any hospital, government facility, or school. Through partnership and innovation, Amergis creates unmatched staffing experiences to deliver the best workforce solutions.  
						
Amergis is an equal opportunity/affirmative action employer. All qualified applicants will receive consideration for employment without regard to sex, gender identity, sexual orientation, race, color, religion, national origin, disability, protected Veteran status, age, or any other characteristic protected by law.",https://careers.amergis.com/job/872678-in-person-speech-language-pathologist-25-26-school-year-wilmington-delaware/
Weekly Pay - Hiring Experienced School Behavior Technician,"Los Angeles, California",Category: Education,,Contract - Full Time,,,Contract Duration: 52 Weeks,Work Setting: Schools,Est. Pay: $23 / Hour,,Posted Date: 7/25/2025,"Behavior Technician
Pay Rate: $20 – $25/hr
We’re looking for experienced Behavior Technicians to provide direct, hands-on support to individuals with special needs in educational and behavioral settings. This role requires candidates who’ve already worked as a BT and can confidently implement behavior plans, support therapy goals, and promote functional independence.
Key Responsibilities:


Carry out behavioral and educational services under the supervision of a BCBA or teacher


Apply behavior management and crisis intervention strategies with confidence


Execute behavior intervention plans and IEP goals


Assist in academic instruction and therapeutic activities (SLP, OT, PT)


Document sessions and collect behavioral data with precision


Support clients with daily living tasks including hygiene and routines


Work across settings such as classrooms, playgrounds, and therapy spaces


Requirements:


Prior experience working as a Behavior Technician is required


Must be 18 or older


High school diploma or equivalent


Benefits
At Amergis, we firmly believe that our employees are the heartbeat of our organization and we are happy to offer the following benefits:


Competitive pay & weekly paychecks
Health, dental, vision, and life insurance
401(k) savings plan
Awards and recognition programs 

*Benefit eligibility is dependent on employment status. 
												
About Amergis
Amergis, formerly known as Maxim Healthcare Staffing, has served our clients and communities by connecting people to the work that matters since 1988. We provide meaningful opportunities to our extensive network of healthcare and school-based professionals, ready to work in any hospital, government facility, or school. Through partnership and innovation, Amergis creates unmatched staffing experiences to deliver the best workforce solutions.  
						
Amergis is an equal opportunity/affirmative action employer. All qualified applicants will receive consideration for employment without regard to sex, gender identity, sexual orientation, race, color, religion, national origin, disability, protected Veteran status, age, or any other characteristic protected by law.",https://careers.amergis.com/job/886013-weekly-pay-hiring-experienced-school-behavior-technician-los-angeles-california/
Full-Time School Behavior Technician (RBT) - $27/hr | Weekdays Only | Orange County,"Orange, California",Category: Education,,Contract - Full Time,,,Contract Duration: 13 Weeks,Work Setting: Schools,Est. Pay: $25 / Hour,,Posted Date: 8/4/2025,"Amergis Healthcare Staffing is hiring full time School Based Behavior Technician / RBT to assist students, either 1:1 or in a small group setting, in school classrooms during school hours for the duration of the 2025-2026 school year in Orange County.
The School Based Behavior Technician / RBT role entails supporting students who require behavioral support by utilizing ABA strategies to manage maladaptive behaviors and ensuring students are staying on track with their classwork and school activities. Must have minimum 6 months of Applied Behavior Analysis (ABA) experience.

What We Offer:


Location: Santa Ana, CA (Orange County)
Start Date: August 11th, 2025
Schedule: Monday – Friday
Morning & Day shift – 8AM – 3PM
Competitive Pay Rate – up to $27+ / Hour

Benefits:


Weekly Pay
Health, dental, vision, and life insurance
401(k) savings plan
Awards and recognition programs

If you are interested in this position, apply today!


Benefits
At Amergis, we firmly believe that our employees are the heartbeat of our organization and we are happy to offer the following benefits:


Competitive pay & weekly paychecks
Health, dental, vision, and life insurance
401(k) savings plan
Awards and recognition programs 

*Benefit eligibility is dependent on employment status. 
												
About Amergis
Amergis, formerly known as Maxim Healthcare Staffing, has served our clients and communities by connecting people to the work that matters since 1988. We provide meaningful opportunities to our extensive network of healthcare and school-based professionals, ready to work in any hospital, government facility, or school. Through partnership and innovation, Amergis creates unmatched staffing experiences to deliver the best workforce solutions.  
						
Amergis is an equal opportunity/affirmative action employer. All qualified applicants will receive consideration for employment without regard to sex, gender identity, sexual orientation, race, color, religion, national origin, disability, protected Veteran status, age, or any other characteristic protected by law.",https://careers.amergis.com/job/888012-full-time-school-behavior-technician-rbt-27-hr-weekdays-only-orange-county-orange-california/
"10 School SLPAs Needed (Bilingual) Austin, TX","Austin, Texas",Category: Education,,Contract Duration: 36 Weeks,,,Contract Duration: 36 Weeks,Work Setting: Schools,Est. Pay: $0 / Week,,Posted Date: 5/27/2025,"Modality:  


Speech Language Pathologist Assistant x10 (Bilingual)                       




Grade Level & Classroom Type (General, Inclusion, Self Contained, etc.)


K-12




Caseload Details:


Ranges between 30-50 students




Classroom Support:


Possible support from SLP but will have support from Speech Team




Day to Day Duties:


? Assisting in implementing therapy plans under the supervision of an SLP.
? Providing direct speech and language therapy services to students.
? Conducting screenings and assessments as directed.
? Maintaining documentation and progress notes.
? Collaborating with educators, families, and other school staff.
? Participating in team meetings to support student communication development.




Group or 1:1 support (Paras, BTs, Nurses):


N/A




Start & End Date:


08/19/25 – 05/28/26 




Start & End Time:


 7:30am – 3:30pm




Hours Per Week:

37.5-40 hours (30 minute break each day)





Specific Campus:


 To be determined




In person or virtual interview:


 Virtual




Pay:


$35hr




District specific onboarding requirements:


Resume, certification and Interview Availability 




Type of Timekeeping System:


Matterworx




If Hybrid, Days on Campus:


In-Person




Benefits
At Amergis, we firmly believe that our employees are the heartbeat of our organization and we are happy to offer the following benefits:


Competitive pay & weekly paychecks
Health, dental, vision, and life insurance
401(k) savings plan
Awards and recognition programs 

*Benefit eligibility is dependent on employment status. 
												
About Amergis
Amergis, formerly known as Maxim Healthcare Staffing, has served our clients and communities by connecting people to the work that matters since 1988. We provide meaningful opportunities to our extensive network of healthcare and school-based professionals, ready to work in any hospital, government facility, or school. Through partnership and innovation, Amergis creates unmatched staffing experiences to deliver the best workforce solutions.  
						
Amergis is an equal opportunity/affirmative action employer. All qualified applicants will receive consideration for employment without regard to sex, gender identity, sexual orientation, race, color, religion, national origin, disability, protected Veteran status, age, or any other characteristic protected by law.",https://careers.amergis.com/job/873297-10-school-slpas-needed-bilingual-austin-tx-austin-texas/
Speech Language Pathologist Assistant (School),"Tulare, California",Category: Education,,Contract - Full Time,,,Contract Duration: 32 Weeks,Work Setting: Schools,Est. Pay: $1500 / Week,,Posted Date: 8/7/2025,"The Speech Language Pathologist Assistant assists the SpeechLanguage Pathologist in providing speech and language services.  The Speech Language Pathologist Assistantwill have clinical, educational, documentation, and treatment relatedactivities while working within the scope of responsibilities/ plan of careassigned by the Speech Language Pathologist and/or physician.  
Full-time
In-person
Must be license in CA
Call or Text:813-280-8809
Email: Jearisti@amergis.com
Minimum Requirements: 


Must be a graduate of a SLPA program with an associate’sdegree, or have a bachelor’s degree in a speech-language pathology orcommunication disorders program  
Successful completion of a minimum of 100 hours ofsupervised field work experience or its clinical experience equivalent asrequired by state and/or contract 
Current certification or licensure as a Speech-LanguagePathology Assistant in the State of Practice 
Complies with all relevant professional standards of practice  
One (1) year of prior professional Speech-Language PathologyAssistant experience preferred 
Complies with all relevant professional standards ofpractice  
TB questionnaire, PPD or chest x-ray if applicable  
Current Health certificate (per contract or stateregulation)  
Must meet all federal, state and local requirements  
Must be at least 18 years of age



Benefits
At Amergis, we firmly believe that our employees are the heartbeat of our organization and we are happy to offer the following benefits:


Competitive pay & weekly paychecks
Health, dental, vision, and life insurance
401(k) savings plan
Awards and recognition programs 

*Benefit eligibility is dependent on employment status. 
												
About Amergis
Amergis, formerly known as Maxim Healthcare Staffing, has served our clients and communities by connecting people to the work that matters since 1988. We provide meaningful opportunities to our extensive network of healthcare and school-based professionals, ready to work in any hospital, government facility, or school. Through partnership and innovation, Amergis creates unmatched staffing experiences to deliver the best workforce solutions.  
						
Amergis is an equal opportunity/affirmative action employer. All qualified applicants will receive consideration for employment without regard to sex, gender identity, sexual orientation, race, color, religion, national origin, disability, protected Veteran status, age, or any other characteristic protected by law.",https://careers.amergis.com/job/888855-speech-language-pathologist-assistant-school-tulare-california/
Speech Language Pathologist - Schools,"Gonzales, California",Category: Education,,Contract Duration: 36 Weeks,,,Contract Duration: 36 Weeks,Work Setting: Schools,Est. Pay: $3856 / Week,,Posted Date: 7/22/2025,"Amergis Staffing is currentlyseeking  Speech Language Pathologist for the 2025/26  schoolyear in the Gonzales, CA area.
 
Position Details:  CA SLP License, Only AcceptingCCC-SLP`s
 
Schedule: Monday – Friday
Hours/Week: 37.5hours Weekly
Start Date: 8/7/2025
Length: 25/26 School Year
Details:  Grade Level Elementary SchoolKids, In-Person Only, must have school experience
 Pay: Travel Rate: $3,856(for Candidate over 50 miles)
(If under 50 miles) Local Rate: $90/hour
 
 Feel free to contact me ifyou are interested. Email: Cebattle@amergis.comor Phone: (813) 462-3553
 
 Amergis Advantages
Weekly pay through directdeposit
We have offices in most majorcities across the country
Premium pay rates with taxadvantage compensation
Health/Dental/Vision Insuranceavailable on 1st of month
Fully furnished, private housingavailable (pets are welcomed)
Expense reimbursement for traveland state licensure available
Accessible via office phone,email, or text

Emergency, On-call line,available 24/7





The Speech-Language Pathologist in the school setting isresponsible for performing student evaluations as well as providing anddocumenting therapy services in accordance with the plan of care developed foreach individual student and the physician’s orders.
Minimum Requirements: 


Active  SpeechLanguage Pathologist (SLP) Licensure in the state of assignment required 
Certificate of Clinical Competence in Speech-LanguagePathology (CCC-SLP) preferred and may be required by state/contract.  
Complies with all relevant professional standards ofpractice  
Current CPR if applicable 
TB questionnaire, PPD or chest x-ray if applicable  
Current Health certificate (per contract or stateregulation)  
Must meet all federal, state and local requirements  
Must be at least 18 years of age  



Benefits
At Amergis, we firmly believe that our employees are the heartbeat of our organization and we are happy to offer the following benefits:


Competitive pay & weekly paychecks
Health, dental, vision, and life insurance
401(k) savings plan
Awards and recognition programs 

*Benefit eligibility is dependent on employment status. 
												
About Amergis
Amergis, formerly known as Maxim Healthcare Staffing, has served our clients and communities by connecting people to the work that matters since 1988. We provide meaningful opportunities to our extensive network of healthcare and school-based professionals, ready to work in any hospital, government facility, or school. Through partnership and innovation, Amergis creates unmatched staffing experiences to deliver the best workforce solutions.  
						
Amergis is an equal opportunity/affirmative action employer. All qualified applicants will receive consideration for employment without regard to sex, gender identity, sexual orientation, race, color, religion, national origin, disability, protected Veteran status, age, or any other characteristic protected by law.",https://careers.amergis.com/job/885105-speech-language-pathologist-schools-gonzales-california/
Bilingual Speech Language Pathologist - Schools,"San Jose, California",Category: Education,,Contract Duration: 36 Weeks,,,Contract Duration: 36 Weeks,Work Setting: Schools,Est. Pay: $3833 / Week,,Posted Date: 8/5/2025,"The Speech-Language Pathologist in the school setting isresponsible for performing student evaluations as well as providing anddocumenting therapy services in accordance with the plan of care developed foreach individual student and the physician’s orders. 
40 hours a week 
Experience with SEIS preferred 
Minimum Requirements: 


Active  SpeechLanguage Pathologist (SLP) Licensure in the state of assignment required 
Certificate of Clinical Competence in Speech-LanguagePathology (CCC-SLP) preferred and may be required by state/contract.  
Bilingual
Complies with all relevant professional standards ofpractice  
Current CPR if applicable 
TB questionnaire, PPD or chest x-ray if applicable  
Current Health certificate (per contract or stateregulation)  
Must meet all federal, state and local requirements  
Must be at least 18 years of age  



Benefits
At Amergis, we firmly believe that our employees are the heartbeat of our organization and we are happy to offer the following benefits:


Competitive pay & weekly paychecks
Health, dental, vision, and life insurance
401(k) savings plan
Awards and recognition programs 

*Benefit eligibility is dependent on employment status. 
												
About Amergis
Amergis, formerly known as Maxim Healthcare Staffing, has served our clients and communities by connecting people to the work that matters since 1988. We provide meaningful opportunities to our extensive network of healthcare and school-based professionals, ready to work in any hospital, government facility, or school. Through partnership and innovation, Amergis creates unmatched staffing experiences to deliver the best workforce solutions.  
						
Amergis is an equal opportunity/affirmative action employer. All qualified applicants will receive consideration for employment without regard to sex, gender identity, sexual orientation, race, color, religion, national origin, disability, protected Veteran status, age, or any other characteristic protected by law.",https://careers.amergis.com/job/888143-bilingual-speech-language-pathologist-schools-san-jose-california/
HYBRID School Psychologist!,"Killeen, Texas",Category: Education,,Contract - Full Time,,,Contract Duration: 37 Weeks,Work Setting: Schools,Est. Pay: $55 / Hour,,Posted Date: 8/7/2025,"??Happy HYBRID Hump Day! ????
School Psychologists LSSP in Killeen, TX!
$2,100 Wkly – W2 – Benefits – 401K


 
Help empower students to thrive??
 
??Travel Package available if you qualify
?? Know another School Based Professional looking? I’m happy to help!
??? Located in another state or area? I hire Nationally!
 
Reach out to set up some time to discuss!
?? Rayulo@amergis.com
?? 813-261-5525 Call or Text
Benefits
At Amergis, we firmly believe that our employees are the heartbeat of our organization and we are happy to offer the following benefits:


Competitive pay & weekly paychecks
Health, dental, vision, and life insurance
401(k) savings plan
Awards and recognition programs 

*Benefit eligibility is dependent on employment status. 
												
About Amergis
Amergis, formerly known as Maxim Healthcare Staffing, has served our clients and communities by connecting people to the work that matters since 1988. We provide meaningful opportunities to our extensive network of healthcare and school-based professionals, ready to work in any hospital, government facility, or school. Through partnership and innovation, Amergis creates unmatched staffing experiences to deliver the best workforce solutions.  
						
Amergis is an equal opportunity/affirmative action employer. All qualified applicants will receive consideration for employment without regard to sex, gender identity, sexual orientation, race, color, religion, national origin, disability, protected Veteran status, age, or any other characteristic protected by law.",https://careers.amergis.com/job/888836-hybrid-school-psychologist-killeen-texas/
Speech Language Pathologist 25/26 School Year,"Sheboygan, Wisconsin",Category: Education,,Contract - Full Time,,,Contract Duration: 36 Weeks,Work Setting: Schools,Est. Pay: $2600 / Week,,Posted Date: 4/28/2025,"The Speech-Language Pathologist in the school setting isresponsible for performing student evaluations as well as providing anddocumenting therapy services in accordance with the plan of care developed foreach individual student and the physician’s orders. 
Minimum Requirements:


Active Speech Language Pathologist (SLP) Licensure in thestate of assignment required 
Certificate of Clinical Competence in Speech-LanguagePathology (CCC-SLP) preferred and may be required by state/contract. 
Current CPR if applicable 
TB questionnaire, PPD or chest x-ray if applicable  
Current Health certificate (per contract or stateregulation)  
Must meet all federal, state and local requirements 
Must be at least 18 years of age
They areopen to virtual candidates to work with the middle school and high schoolstudents, but elementary must be in person.


Benefits
At Amergis, we firmly believe that our employees are the heartbeat of our organization and we are happy to offer the following benefits:


Competitive pay & weekly paychecks
Health, dental, vision, and life insurance
401(k) savings plan
Awards and recognition programs 

*Benefit eligibility is dependent on employment status. 
												
About Amergis
Amergis, formerly known as Maxim Healthcare Staffing, has served our clients and communities by connecting people to the work that matters since 1988. We provide meaningful opportunities to our extensive network of healthcare and school-based professionals, ready to work in any hospital, government facility, or school. Through partnership and innovation, Amergis creates unmatched staffing experiences to deliver the best workforce solutions.  
						
Amergis is an equal opportunity/affirmative action employer. All qualified applicants will receive consideration for employment without regard to sex, gender identity, sexual orientation, race, color, religion, national origin, disability, protected Veteran status, age, or any other characteristic protected by law.",https://careers.amergis.com/job/867609-speech-language-pathologist-25-26-school-year-sheboygan-wisconsin/
ESE Teacher - 2025-2026 School Year,"Land O Lakes, Florida",Category: Education,,Contract Duration: 39 Weeks,,,Contract Duration: 39 Weeks,Work Setting: Schools,Est. Pay: $1100 / Week,,Posted Date: 4/28/2025,"ESE Teachers Needed in Pasco County for the 2025-2026 School Year!
The Special Education Teacher, under the direction of theSpecial Education Program Administrator provides quality services to specialeducation students, kindergarten through grade 12.  The Special Education Teacher has a commitmentto team participation in planning and implementation of student programsincluding special instruction, tutorial assistance and consultation withgeneral education staff.   
Minimum Requirements:  


Bachelor’s Degree from an accredited universitypreferred  
Valid state teaching certificate as required by state,contract/district regulations  
Minimum of one year experience in teaching environmentpreferred  
State Teacher Certification; Type: Standard ElementaryTeaching preferred 
State Teacher Certification; Type: Standard SecondaryTeaching preferred 
State Teacher Certification; Type: Standard Special Teachingpreferred 
Endorsement: Learning Behavior Specialist (LBS1) preferred
Current CPR if applicable 
TB Questionnaire, PPD or chest x-ray if applicable  
Current Health certificate (per contract or stateregulation)  
Must meet all federal, state and local requirements 
Must be at least 18 years of age 

Benefits
At Amergis, we firmly believe that our employees are the heartbeat of our organization and we are happy to offer the following benefits:


Competitive pay & weekly paychecks
Health, dental, vision, and life insurance
401(k) savings plan
Awards and recognition programs 

*Benefit eligibility is dependent on employment status. 
												
About Amergis
Amergis, formerly known as Maxim Healthcare Staffing, has served our clients and communities by connecting people to the work that matters since 1988. We provide meaningful opportunities to our extensive network of healthcare and school-based professionals, ready to work in any hospital, government facility, or school. Through partnership and innovation, Amergis creates unmatched staffing experiences to deliver the best workforce solutions.  
						
Amergis is an equal opportunity/affirmative action employer. All qualified applicants will receive consideration for employment without regard to sex, gender identity, sexual orientation, race, color, religion, national origin, disability, protected Veteran status, age, or any other characteristic protected by law.",https://careers.amergis.com/job/867851-ese-teacher-2025-2026-school-year-land-o-lakes-florida/
